video_id,duration,theoretical_duration
-4wsuPCjDBc_5_15,10.027743,10
-7KMZQEsJW4_205_208,3.066667,3
-8y1Q0rA3n8_108_115,7.007,7
-8y1Q0rA3n8_95_102,7.007,7
-9CUm-2cui8_39_44,5.013928,5
-AwoiGR6c8M_10_14,4.011142,4
-bjOB4zS0uE_100_105,5.013928,5
-Cv5LsqKUXc_17_25,8.011127,8
-Cv5LsqKUXc_71_76,5.006954,5
-DKuLXYoY3g_14_20,6.008345,6
-dm-ds5rRaM_44_52,8.008,8
-DRy7rBg0IQ_31_37,6.033333,6
-FugkxLmGO4_5_16,11.04,11
-joBOHlg5J0_72_80,8.008,8
-mAoVOhKy0c_4_9,5.013928,5
-Ms9tsWmhyU_80_95,15.015,15
-pUwIypksfE_13_23,10.01,10
-rkErLY0rRc_26_35,9.009,9
-rkErLY0rRc_63_67,4.004,4
-rvjK0lE3z4_33_43,10.01,10
-s4-6QTT7HE_235_241,6.006,6
-t-ZWaJeH-o_0_15,15.041667,15
-uT_1VDvXok_8_15,7.033333,7
-vg3vR86fu0_1_6,5.033333,5
-vKO3uSG6Do_3_14,11.011,11
-wa0umYJVGg_100_115,15.008357,15
-wa0umYJVGg_117_123,6.016713,6
-wa0umYJVGg_139_157,18.016713,18
-wa0umYJVGg_168_176,8.022284,8
-wa0umYJVGg_23_41,18.016713,18
-wa0umYJVGg_271_276,5.013928,5
-wa0umYJVGg_286_290,4.011142,4
-YI0cxuNcq8_262_272,10.01,10
-zOrV-5vh1A_69_76,7.04,7
-_aaMGK6GGw_57_61,4.004,4
-_hbPLsZvvo_172_179,7.009736,7
-_hbPLsZvvo_18_25,7.009736,7
-_hbPLsZvvo_19_25,6.008345,6
-_hbPLsZvvo_19_26,7.009736,7
-_hbPLsZvvo_211_219,8.011127,8
-_hbPLsZvvo_269_275,6.008345,6
-_hbPLsZvvo_288_305,17.006954,17
-_hbPLsZvvo_323_328,5.006954,5
-_hbPLsZvvo_43_55,12.01669,12
-_hbPLsZvvo_49_55,6.008345,6
-_hbPLsZvvo_5_8,3.004172,3
00jrXRMlZOY_0_10,10.035714,10
02Z-kuB3IaM_2_13,9.84,11
04Gt01vatkk_248_265,17.033333,17
04Gt01vatkk_308_321,13.033333,13
05gNigkqfNU_11_23,12.012,12
05gNigkqfNU_24_32,8.008,8
05gNigkqfNU_25_34,9.009,9
05gNigkqfNU_78_84,6.006,6
05Gtb7_9tLU_0_9,9.066667,9
06CbMa0kDr8_3_13,10.033333,10
08pVpBq706k_175_212,37.002985,37
0bSz70pYAP0_5_15,10.027743,10
0GXq1An3yHI_22_35,13.015184,13
0hyZ__3YhZc_279_283,4.004,4
0hyZ__3YhZc_289_295,6.006,6
0hyZ__3YhZc_302_307,5.005,5
0hyZ__3YhZc_341_348,7.007,7
0hyZ__3YhZc_352_356,4.004,4
0hyZ__3YhZc_364_370,6.006,6
0hyZ__3YhZc_380_384,4.004,4
0hyZ__3YhZc_388_394,6.006,6
0hyZ__3YhZc_410_417,7.007,7
0hyZ__3YhZc_418_424,6.006,6
0hyZ__3YhZc_485_490,5.005,5
0hyZ__3YhZc_562_568,6.006,6
0hyZ__3YhZc_575_580,5.005,5
0hyZ__3YhZc_598_603,5.005,5
0hyZ__3YhZc_632_637,5.005,5
0I4VKj4d0WI_24_40,16.016,16
0IDJG0q9j_k_1_24,23.018074,23
0k1Ak8aTMVI_4_12,8.066667,8
0lh_UWF9ZP4_103_110,7.019499,7
0lh_UWF9ZP4_138_145,7.019499,7
0lh_UWF9ZP4_148_155,7.019499,7
0lh_UWF9ZP4_157_160,3.008357,3
0lh_UWF9ZP4_165_170,5.013928,5
0lh_UWF9ZP4_174_178,4.011142,4
0lh_UWF9ZP4_178_182,4.011142,4
0lh_UWF9ZP4_183_190,7.019499,7
0lh_UWF9ZP4_191_197,6.016713,6
0lh_UWF9ZP4_199_207,8.022284,8
0lh_UWF9ZP4_215_226,11.030641,11
0lh_UWF9ZP4_21_26,5.013928,5
0lh_UWF9ZP4_27_31,4.011142,4
0lh_UWF9ZP4_38_46,8.022284,8
0lh_UWF9ZP4_50_60,10.027855,10
0lh_UWF9ZP4_62_69,7.019499,7
0lh_UWF9ZP4_71_77,6.016713,6
0lh_UWF9ZP4_79_82,3.008357,3
0lh_UWF9ZP4_82_87,5.013928,5
0lh_UWF9ZP4_94_103,9.02507,9
0M-PyX2DbZc_25_31,6.006,6
0NPtAv3_uVI_46_54,8.022284,8
0ONJfp95yoE_1_10,9.033333,9
0piwbTivpDg_10_40,30.033333,30
0RWJEOScToE_414_421,7.007,7
0SMOK2ql7Pg_5_12,7.007,7
0sUL0KCIc48_15_25,10.033333,10
0vmoZEaN_-o_4_12,8.066667,8
0vmoZEaN_-o_5_21,16.066667,16
0wutCy2ZGOQ_4_10,6.006,6
0xx13BuvVmo_25_36,11.030641,11
11xs9mFKObs_0_8,8.008,8
16iNk1hLJt4_37_40,3.003,3
1dA1RQgPN3c_72_82,10.01,10
1dfR0A_BXjw_401_408,7.007,7
1dfR0A_BXjw_441_448,7.007,7
1dfR0A_BXjw_524_532,8.008,8
1dfR0A_BXjw_545_560,15.015,15
1dfR0A_BXjw_590_600,10.01,10
1Dty_eGY9Ec_123_133,10.027855,10
1dYpcVv6n3Y_0_18,18.04,18
1hPxGmTGarM_9_19,10.04,10
1kYWws89W3Y_0_5,5.04,5
1mIyMRPV8kg_9_17,8.066667,8
1N_Ic2pBM1o_2_23,21.021,21
1pw5ZdRhiig_50_59,9.009,9
1qU-kF-km1Q_6_16,10.01,10
1qV4wfjTYIo_151_164,11.2112,13
1QVn0FffExM_14_24,10.01,10
1qxMJLkHDLw_0_9,9.04,9
1RchFBCT9JU_43_53,10.01,10
1rECrfrdNTo_200_207,7.033333,7
1sffYOXq4Iw_23_49,26.026,26
1Sp2__RCT0c_11_15,4.004,4
1TjqADyYyxI_36_45,9.066667,9
1_6V30igzIk_5_15,10.01,10
21uB8g-jDZI_70_79,9.009,9
229NvV0SRHw_0_5,5.033333,5
25NmudB2fqg_0_7,7.04,7
27hs9W89FuI_0_10,10.04,10
27mxaePkYB4_8_14,6.006,6
2F9jX7u5nOg_114_130,16.011142,16
2F9jX7u5nOg_83_97,14.005571,14
2FLsMPsywRc_45_63,18.033333,18
2G9fkvBzzQE_10_20,10.01,10
2HpZvL-_fiY_40_44,4.004,4
2I20ZTFHheg_96_104,8.008,8
2jkExrrm_sQ_19_25,6.04,6
2jXxtQRy47A_30_38,8.011127,8
2KrdBUFeFtY_22_27,5.066667,5
2L4oELbX8Ms_1_12,9.042367,11
2LgrGHWSy6k_122_135,13.04,13
2MCpA01Sn_c_75_82,7.019499,7
2mUMTFnQWaw_1_9,8.022284,8
2Nn2CAeaI5k_72_77,5.005,5
2R_OAYQIkXM_14_22,8.008,8
2xpIT0L4GqE_1_10,9.033333,9
2YhDTpzxd3c_102_105,3.003,3
2YhDTpzxd3c_115_120,5.005,5
2YhDTpzxd3c_149_154,5.005,5
2YhDTpzxd3c_166_170,4.004,4
2YhDTpzxd3c_174_180,6.006,6
2YhDTpzxd3c_223_232,9.009,9
2YhDTpzxd3c_22_27,5.005,5
2YhDTpzxd3c_240_245,5.005,5
2YhDTpzxd3c_45_49,4.004,4
2YhDTpzxd3c_98_101,3.003,3
30GeJHYoerk_121_126,5.04,5
30GeJHYoerk_63_75,12.04,12
30GeJHYoerk_80_85,5.04,5
30PpKtVT8Z4_35_50,15.041667,15
32_A0-er4Ws_16_20,4.004672,4
39Ce7I6nXIw_96_104,8.008,8
3chNlP5TeO8_0_10,9.961003,10
3doK4FQM5-k_46_57,11.066667,11
3eqFFRSXwGE_84_96,12.066667,12
3FnUTQMJVXI_31_36,5.005,5
3ftaoFnhTyY_140_150,10.04,10
3I9tSDU-OSk_17_22,5.05,5
3lBHYoI5V8s_30_45,15.015,15
3mbBbFH9fAg_21_29,8.04,8
3n_Kqak2JdA_48_71,23.033333,23
3opDcpPxllE_50_66,16.04,16
3OPQqH3YlHA_50_54,4.004,4
3qqEKTPxLNs_1_15,14.033333,14
3SKyc0aKx70_46_52,6.04,6
3ytUOoa1SBE_12_23,11.011,11
3zgEl-OLFKE_12_15,3.003,3
3zrVqwV29V8_69_76,7.039719,7
3_51FhosiVY_93_101,8.04,8
4-1gpwkD7Hc_7_15,8.008,8
45AGQSbodbU_5_15,10.033333,10
47D9-U8hn5I_11_16,5.033333,5
4cgzdXlJksU_83_90,7.000467,7
4D1o4FC8YbA_207_216,9.012517,9
4D1o4FC8YbA_29_39,10.013908,10
4eJJF11bIxM_1_9,8.008,8
4ge5_V-xhP0_138_142,4.033333,4
4ge5_V-xhP0_35_42,7.033333,7
4Hhdr1IPOGs_1_10,9.009,9
4Hhdr1IPOGs_90_98,8.008,8
4ikH9ZRcF2Q_89_105,16.033333,16
4JVpbYmqfcI_5_19,4.265162,14
4kQnrKvOTNg_15_24,9.04,9
4lXdVS697DQ_10_25,15.033333,15
4MjTb5A68VA_111_118,7.007,7
4PayIIIOeIs_230_238,8.011127,8
4PcL6-mjRNk_11_18,7.033333,7
4PcL6-mjRNk_47_55,8.033333,8
4QdX5Q3qQsQ_38_44,6.006,6
4QdX5Q3qQsQ_6_14,8.008,8
4QYPZM01xFE_14_26,12.033333,12
4R-tumAGrtU_12_22,10.01,10
4s_0-zIWEog_1_15,14.033333,14
4t5POXt2e68_5_11,6.033333,6
4Tn5S48sCwg_110_118,8.008,8
4UOVKok7j1U_1_8,7.007,7
4VLrxtf7Z_8_0_7,7.04,7
4wT7zM8XgXQ_5_11,6.066667,6
4xVGpDmA4lE_23_33,10.033333,10
4yf2WP6K1gQ_28_32,4.004,4
4yYapi-5QYQ_33_57,24.03352,24
4z3b4mnw5y4_56_60,4.004,4
4zPSShqsq-o_3_16,13.018226,13
4_WZN7uW0NY_140_145,5.005,5
5-8z5U-o4O4_0_3,3.003,3
504gE1DA_4g_1_6,4.066667,5
53dc4z7HLyg_16_23,7.04,7
53dc4z7HLyg_25_29,4.04,4
57C93mpt6Xo_358_368,10.01,10
5AEldiUP408_65_71,6.006,6
5CS4nLI2ZX8_50_59,9.04,9
5CU2JhYM8tY_14_45,31.031,31
5dv8MSWlxoQ_10_40,30.008345,30
5dZ8PXABC30_14_20,6.006,6
5E66Gk3V1Bc_23_30,7.007,7
5EXVeP6R3yc_105_108,3.004172,3
5fDBl1wT2Lk_34_39,5.005,5
5fq9iIxxA1s_12_27,15.04,15
5HAf_INrFy0_3_25,22.066667,22
5JLi7L1Kwp8_23_30,7.033333,7
5JSbxHECb-I_97_110,13.002786,13
5K7Ru5s6YIw_8_11,3.003,3
5L5MoemWC6g_10_13,3.003,3
5l6acVf12S4_7_13,6.006,6
5OuYhq6Zl0g_0_10,10.01,10
5OvgDatToBU_0_8,8.008,8
5P6UU6m3cqk_57_75,18.04,18
5PpPOGU_0aA_65_75,10.027855,10
5QJf-l4lPJw_133_138,5.005,5
5U3xz9Ovmhk_214_222,8.04,8
5U3xz9Ovmhk_258_265,7.04,7
5U3xz9Ovmhk_99_105,6.04,6
5U3xz9Ovmhk_9_15,6.04,6
5W02895vT8c_312_322,10.04,10
5W02895vT8c_460_470,10.04,10
5XxshEdcfAM_85_100,15.008357,15
5XxshEdcfAM_96_107,11.030641,11
5x_OGEdO6Z8_0_21,21.066667,21
5YJaS2Eswg0_22_26,3.766667,4
5zkCnHUnoYY_69_74,5.005,5
60x_yxy7Sfw_1_7,6.006,6
62I8I4sCPPQ_12_30,18.033333,18
64Xn9edeWRA_0_11,11.041667,11
6BrHPMdyVtU_1_10,9.009,9
6eokrw6_bjU_1_9,8.04,8
6FmN22YcVVE_11_18,7.033333,7
6GJ1DNOGDAM_223_233,10.033333,10
6gQu8PWhFoQ_30_35,5.033333,5
6gQu8PWhFoQ_37_41,4.033333,4
6JnGBs88sL0_4_10,6.006,6
6KS8R3RxrV8_0_23,7.619772,23
6Lzq1HN33lE_5_15,10.04,10
6mYnZbIwcNo_10_16,6.006,6
6njscWrdnM0_8_18,10.041667,10
6owu8Mow0_g_275_280,5.005172,5
6owu8Mow0_g_302_307,5.005172,5
6owu8Mow0_g_384_389,5.005172,5
6owu8Mow0_g_527_534,7.007241,7
6owu8Mow0_g_692_697,5.005172,5
6owu8Mow0_g_850_855,5.005172,5
6pcqRuFEMLs_46_52,6.033333,6
6q1dX6thX3E_286_295,9.04,9
6Q3ltyPJJMQ_67_72,5.005,5
6QbhfbLUtQs_13_23,10.01,10
6r5DmFa5ZR8_51_58,7.04,7
6RlYLTU5gvM_18_24,2.984975,6
6sKdTbRkahM_6_12,6.04,6
6sYmDT5et00_301_339,38.04,38
6t0BpjwYKco_105_110,5.013928,5
6t0BpjwYKco_118_127,9.02507,9
6t0BpjwYKco_142_151,9.02507,9
6t0BpjwYKco_15_31,16.011142,16
6t0BpjwYKco_179_183,4.011142,4
6t0BpjwYKco_200_205,5.013928,5
6t0BpjwYKco_217_229,12.033426,12
6t0BpjwYKco_230_240,10.027855,10
6t0BpjwYKco_240_247,7.019499,7
6t0BpjwYKco_254_258,4.011142,4
6t0BpjwYKco_261_284,23.030641,23
6t0BpjwYKco_46_53,7.019499,7
6t0BpjwYKco_53_59,6.016713,6
6t0BpjwYKco_59_69,10.027855,10
6t0BpjwYKco_71_76,5.013928,5
6t0BpjwYKco_80_84,4.011142,4
6vC6AT27RUc_29_46,17.017,17
6vSKIUGGLvY_81_87,6.04,6
6ZhKOK08tgM_225_233,8.008,8
6ZhKOK08tgM_45_49,4.004,4
6ZZkO14S7GY_5_15,10.066667,10
71soiLO6I9U_15_24,9.009,9
73vUksucPz8_12_20,8.04,8
74tRCYS_534_49_57,8.011461,8
778mkceE0UQ_40_46,6.008345,6
77iDIp40m9E_119_123,4.04,4
77iDIp40m9E_126_131,5.04,5
77iDIp40m9E_159_181,22.04,22
77iDIp40m9E_3_9,6.04,6
7bcV-TL9mho_0_7,7.04,7
7d1d2WlEnKs_0_12,12.033333,12
7EOqi_6rnkg_36_44,8.033333,8
7HcYJKMxpcg_20_28,8.009879,8
7M-jsjLB20Y_11_30,18.68,19
7NNg0_n-bS8_21_30,9.009,9
7OGizkf_JEo_191_194,3.003,3
7s0AXJtLL0Y_57_61,4.004,4
7uF-2adCsI0_60_67,7.007,7
7uOiiA4Kxbo_23_35,12.012,12
7xNG7qGY9rw_14_29,15.033333,15
7ZE2OzguWHo_28_38,10.033333,10
7_XASfcYdBk_3_13,10.066667,10
80D0ylOqPJ8_0_5,4.32,5
81fABEiwcIM_31_45,14.04,14
88DOMJ11q2M_34_43,9.009,9
88DOMJ11q2M_84_87,3.003,3
88p7U5CnoYU_1_10,5.273992,9
8BL9qmFRbd4_6_13,7.04,7
8CzlhZtunNc_5_11,6.006,6
8D_oQnBPfNo_43_50,7.007,7
8e0yXMa708Y_24_33,9.04,9
8HB7ywgJuTg_131_142,11.033333,11
8jP8CC2rKj4_80_88,8.04,8
8mSUD7JGNO0_174_181,7.033333,7
8mSUD7JGNO0_198_204,6.033333,6
8MVo7fje_oE_108_113,5.005,5
8MVo7fje_oE_113_118,5.005,5
8MVo7fje_oE_125_130,5.005,5
8MVo7fje_oE_130_136,6.006,6
8MVo7fje_oE_139_144,5.005,5
8MVo7fje_oE_153_158,5.005,5
8MVo7fje_oE_166_171,5.005,5
8MVo7fje_oE_180_185,5.005,5
8MVo7fje_oE_85_90,5.005,5
8NFoN0K3bPg_20_28,8.022284,8
8PQiaurIiDM_143_151,8.008,8
8PQiaurIiDM_173_180,7.007,7
8PQiaurIiDM_247_255,8.008,8
8PQiaurIiDM_94_99,5.005,5
8sARjdhSvpo_167_176,9.012517,9
8VUbN3hkdBo_36_50,14.066667,14
8yoUaH6wGLs_22_30,8.033333,8
8yS2wqwActs_2_14,12.012,12
8yuPGwxwdPs_1_10,9.009,9
8z-XGiU1KN4_9_17,8.04,8
93n_oYVCLpk_9_12,3.04,3
953PkxFNiko_82_85,3.003,3
97JhYpoWxzY_0_4,4.04,4
98Alrg4pFXs_148_153,5.013928,5
98shpdib9sg_55_62,7.007,7
992zi9V3oiQ_15_17,2.005571,2
9BScZRpF7SI_31_36,5.006884,5
9Bxknsvy3jQ_53_58,5.04,5
9d57lHEsLU8_1_14,13.033333,13
9fkS7wqrzAY_13_25,12.033333,12
9gbUM9oHBNI_557_563,6.006,6
9HDUADeA2xg_3_31,28.011142,28
9HTUcMjWB3g_122_128,6.016646,6
9HTUcMjWB3g_134_138,4.011097,4
9HTUcMjWB3g_143_151,8.022195,8
9IrWyZ0KZuk_160_166,6.006,6
9LHg5RUGukI_58_63,5.005,5
9LHg5RUGukI_63_68,5.005,5
9LOJmQQktHA_10_18,8.008,8
9LSuyLyuUiM_3_6,3.003,3
9OvXb1fot74_21_29,8.008,8
9OxQ-2gR1DU_18_38,20.02,20
9Q0JfdP36kI_167_170,3.004172,3
9Q0JfdP36kI_19_27,8.011127,8
9Q0JfdP36kI_23_28,5.006954,5
9Q0JfdP36kI_56_64,8.011127,8
9QI8cgBSGo8_28_41,13.039479,13
9uDPqigcnzw_36_46,10.066667,10
9VG7Elw9TDA_85_91,6.006,6
9W6aQNcU3PA_92_103,11.011,11
9WpJxn-2h1o_122_150,28.028,28
9Wr48VFhZH8_45_50,5.005,5
9wxB1UQi0MM_18_38,20.02,20
9xVqwy_4pmQ_36_49,13.004161,13
9zXqkHvs0po_59_65,6.033333,6
a-cek0mvXxE_15_25,10.013908,10
a0g7wtBkS98_34_42,8.041667,8
a1i6T160REQ_5_18,13.038957,13
a1Y73sPHKxw_0_5,5.04,5
a28s_wyqkyc_68_77,9.04,9
A6XrTsLsUbA_4_15,11.011,11
a8PAY4rvzRM_1_10,9.02507,9
aA05I5QaZnM_66_75,9.033333,9
Aa7yf9XtcJM_45_50,5.005,5
aC-KOYQsIvU_25_31,6.033333,6
ACK7SekJWts_140_150,10.027855,10
aCKNdip53W4_0_25,25.025,25
ACOmKiJDkA4_121_128,7.007,7
ACOmKiJDkA4_130_144,14.014,14
ACOmKiJDkA4_146_153,7.007,7
ACOmKiJDkA4_161_170,9.009,9
ACOmKiJDkA4_175_182,7.007,7
ACOmKiJDkA4_20_26,6.006,6
ACOmKiJDkA4_23_30,7.007,7
ACOmKiJDkA4_47_54,7.007,7
ACOmKiJDkA4_49_54,5.005,5
ACOmKiJDkA4_57_65,8.008,8
ACOmKiJDkA4_67_74,7.007,7
ACOmKiJDkA4_75_81,6.006,6
AdcgmBtE99c_108_114,6.006,6
aDjNl5gs4nM_18_47,29.029,29
AE9UaQwum8c_0_10,10.04,10
aeA-HN7BMdo_16_33,17.017,17
aeA-HN7BMdo_34_41,7.007,7
aeA-HN7BMdo_52_58,6.006,6
AEKPjVHSVZc_0_12,12.066667,12
Afmc6FeN-hM_20_24,4.04,4
AGRFy5hDQiY_31_38,7.033333,7
aGUx0QOKWXw_7_12,5.013928,5
aHiUM8uWxxo_17_25,8.035398,8
AJJ-iQkbRNE_97_109,12.012,12
aJoDt4DMkFU_118_124,6.041667,6
AjZ-R3LFMzo_18_23,5.04,5
AjZ-R3LFMzo_24_38,14.04,14
AjZ-R3LFMzo_5_10,5.04,5
aK8liAv-28s_72_82,10.04,10
AKVBK-0veE8_5_12,7.04,7
akXjIEoecNs_2_12,10.01,10
aM-RcQj0a7I_37_55,18.04,18
aN0WsBcja_E_0_15,15.041667,15
ao-9B8IV9_E_108_119,11.04,11
ao-9B8IV9_E_175_187,12.04,12
ao-9B8IV9_E_217_221,4.04,4
ao-9B8IV9_E_37_44,7.04,7
ao-9B8IV9_E_72_77,5.04,5
ao-9B8IV9_E_77_81,4.04,4
ao-9B8IV9_E_87_95,8.04,8
AoNnzlGhI04_112_128,16.033333,16
ApYvvQK7bBc_6_32,26.026,26
AQhiE_NL6yY_91_101,10.01,10
aQWCKcg0VRU_321_339,18.018,18
Ar70p1_LcfM_2_20,18.008404,18
ArEWo8pERFc_17_21,4.004,4
aRo8x3xXeEA_3_8,3.463087,5
auFXfsCzAvQ_1_15,14.04,14
AX38yo7Wuws_81_91,10.01,10
AXL1oMdCFUM_45_59,14.033333,14
Ayh26v6Nies_17_22,5.033333,5
AysIdzGF-7M_6_14,8.008,8
AzMrltkXGJk_0_10,10.041667,10
A_nCfAbXjoM_8_56,47.4474,48
b-d-CxHaKGU_10_30,20.04,20
B-Lsf7ZKf5c_10_25,15.008357,15
b24_bb57PPk_631_637,6.006,6
b4FM9OLBGyM_37_49,12.033426,12
B4foOe9kUgY_0_8,8.008,8
b4mJ3AQc-ag_30_34,4.005741,4
b71bI0rH1g8_75_90,15.015,15
B7mP4zoDMwM_0_17,16.1161,17
b97TK8XVLHE_40_50,10.01,10
BAf3LXFUaGs_28_38,10.04,10
BApIQn69EVE_10_16,6.006,6
bAYIIlX-WWw_5_15,10.033333,10
bb6V0Grtub4_174_185,11.011,11
bDoCQEwghZU_201_211,10.04,10
BefkDBj5gSw_104_109,5.04,5
BefkDBj5gSw_233_240,7.04,7
BE_uxYK9uz0_150_168,18.019822,18
BE_uxYK9uz0_49_56,7.007708,7
BGG0uYWZBdw_6_12,6.006,6
BgoOihBb78w_38_40,2.033333,2
BIqVvRh_cEY_143_149,6.04,6
bJJndejsUWc_88_98,10.01,10
bK-i_FAcpoY_86_92,6.006,6
bkazguPsusc_74_85,11.011,11
bLqmf8x7rLI_2_8,6.04,6
BLXzfdNmydQ_151_156,5.04,5
bL_Kijz9IN4_0_15,15.015,15
bmOy6p87TWI_26_35,9.04,9
bmvD4HlPFxg_20_27,7.009736,7
